Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.87624709687602E-05,4.00393253470889E-06,0.0833501296982546,0,0,0,3.32318803847545,0.0126124113528869,2.56927373183442E-07,-3.71594539232469E-07,0.012835664676862,1.24835861123759E-06,0.0128716305283176,0,0,0,0,0,0,package://MJ_A4/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/base_link.STL,,底座-1,zuobiao1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
trunk1,0.0491785569020739,-0.00235223999921011,0.17440079407548,0,0,0,7.27407224770367,0.109814628636415,-3.71614116202833E-05,-0.0289062391193289,0.128784171279192,-8.18644513669917E-05,0.0345729666831015,0,0,0,0,0,0,package://MJ_A4/meshes/trunk1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/trunk1.STL,,腿-1,zuuobiao2,zhou2,trunk_J1,revolute,0,0,0.161000000045019,0,0,3.14159265358979,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
trunk2,-0.112228832521444,-0.104669015239314,-0.00184659131772547,0,0,0,8.8678292384067,0.0501266523579521,-0.0256643876918091,-0.000211996995306677,0.050183888627592,0.000221416033215328,0.0800251284551891,0,0,0,0,0,0,package://MJ_A4/meshes/trunk2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/trunk2.STL,,腰-1,zuobiao3,zhou3,trunk_J2,revolute,0.119999999999998,0,0.415,-1.5707963267949,0,0,trunk1,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
trunk3,-0.0189532742276381,-0.281889600894594,-0.00158761458668278,0,0,0,11.5779315783688,0.170888356917311,-0.00515900935423071,4.56480800395434E-06,0.10674854164018,-9.99130004001207E-05,0.113508194749263,0,0,0,0,0,0,package://MJ_A4/meshes/trunk3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/trunk3.STL,,身-1;一轴组件_右_0826-1;一轴组件-1,zuobiao4,zhou4,trunk_J3,revolute,-0.212132034355965,-0.212132034355963,0,0,0,0,trunk2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
Right_link1,-0.00505545041964467,1.72114415213365E-05,0.0770297301281596,0,0,0,1.84732823288651,0.00279329043434002,-3.43377816561807E-07,4.04839387458964E-05,0.0026131092667569,4.02586914307371E-06,0.00191849094781824,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link1.STL,,二轴组件_右_0826-1,zuobiao14,zhou14,Right_J1,revolute,0,-0.384999999999999,0.136199999954927,0,0,0,trunk3,0,0,1,0,0,-2.8797,2.8797,,,,,,,,
Right_link2,0.00139860673675998,-0.082958001314837,0.00308529881311936,0,0,0,1.6913399132769,0.00334456509199785,-5.28514351037971E-05,5.48646999607133E-06,0.00242638789548501,-0.00053420499124214,0.00287951206530337,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link2.STL,,三轴组件_右_250826-1,zuobiao15,zhou15,Right_J2,revolute,0,0,0.0846,3.14159265358979,1.5707963267949,0,Right_link1,0,0,1,0,0,-0.9599,1.9198,,,,,,,,
Right_link3,0.000356309996875359,4.51149131632383E-05,-0.142967963660585,0,0,0,1.60131371593021,0.00412433568031909,2.69896996356155E-10,-2.41331214211285E-05,0.00408254642115649,-1.49157507279543E-06,0.0011921754423495,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link3.STL,,四轴组件_右_0826-1,zuobiao16,zhou16,Right_J3,revolute,0,-0.141000000042135,0,-1.5707963267949,0,0,Right_link2,0,0,1,0,0,-2.8797,2.8797,,,,,,,,
Right_link4,-0.000181250438163486,0.0659431288815815,-0.0026888177360252,0,0,0,0.900300521226934,0.00183183081996464,9.5762968380507E-07,3.15426124359246E-08,0.00112145322026532,-0.000229927361474667,0.00139013604843393,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link4.STL,,五轴组件_右_250826-1,zuobiao17,zhou17,Right_J4,revolute,0,0,-0.178999999999999,-1.5707963267949,0,-1.5707963267949,Right_link3,0,0,1,0,0,-0.8753,2.0943,,,,,,,,
Right_link5,0.00271219640113408,-0.0003783973927724,0.0714840699103813,0,0,0,0.979106958507518,0.0017616424308103,-2.16407716693962E-06,6.00750189110706E-06,0.00146153510004494,1.15137727198048E-05,0.000837998167905336,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link5.STL,,右腕部_上-1,zuobiao18,zhou18,Right_J5,revolute,0,0.140000235405189,0,-1.5707963267949,0,0,Right_link4,0,0,1,0,0,-2.8797,2.8797,,,,,,,,
Right_link6,-0.0028957902320417,-0.00043243929041048,-0.000356404128572657,0,0,0,0.420867737512087,0.000337965296673012,8.66429998123206E-07,-6.73299542768556E-08,0.000390100767112464,9.14083087034326E-07,0.000320727271120092,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MJ_A4/meshes/Right_link6.STL,,右腕部_中-1,zuobiao19,zhou19,Right_J6,revolute,0,0,0.17,-1.5707963267949,0,1.5707963267949,Right_link5,0,0,1,0,0,-0.6981,0.6981,,,,,,,,
